실험 4 시작
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.82 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 9.85 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 9.92 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 10.19 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 10.02 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 9.83 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 9.87 m/s², 고도: 36.63 m
중력: 9.81 m/s², 총가속도: 10.01 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 10.07 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.98 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.95 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.86 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.57 m/s², 고도: 36.44 m
중력: 9.81 m/s², 총가속도: 9.55 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.52 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.55 m/s², 고도: 36.61 m
중력: 9.81 m/s², 총가속도: 9.55 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.58 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.87 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.83 m/s², 고도: 36.50 m
