실험 0 시작
최초 고도 기록: 34.983707 m
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.55 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.57 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.67 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.41 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.42 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.52 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.50 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.59 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.90 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.95 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.91 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.86 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 10.00 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 10.01 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.97 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 34.83 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.66 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.53 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.50 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.47 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.38 m/s², 고도: 34.99 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.46 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.82 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.66 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.64 m/s², 고도: 34.79 m
중력: 9.81 m/s², 총가속도: 9.64 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.67 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.16 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.19 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.54 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.54 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.35 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.34 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.88 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.96 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 10.03 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 10.01 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.82 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.94 m/s², 고도: 35.21 m
중력: 9.81 m/s², 총가속도: 9.97 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.47 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.48 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.50 m/s², 고도: 35.14 m
움직임 멈춤 감지됨
최고 고도: 35.3457 m, 최저 고도: 34.724762 m, 마지막 고도: 35.13696 m
